,Unnamed: 0,Vehicle_Title,Review,Rating,Year,Company
144361,196171,Solstice Convertible 2dr Convertible (2.4L 4cyl 5M)," Love the style, very reliable handles great. Stero wonderful  the looks of this car is priceless, and I feel like a millionaire driving the car in the Hamptons. People stop to say that I have a beautiful car. I really love it. Never a problem right now I have 8800 miles. Very low. But I intend to use it much more this summer.",5.0,2006.0,Pontiac
122059,164529,Renegade SUV Limited 4dr SUV 4WD (2.4L 4cyl 9A)," Blown engine at 3600 miles on a 2016 Renegade! Wow, that's all I can say! Chrysler has the worst customer service in the world!! They don't care about the customer all about themselves. New engine, but petrified it's going to blow again, not sure what to do, as I will be more upside down then I already am!.",1.0,2016.0,Jeep
20255,29162,7 Series Sedan 760Li 4dr Sedan (6.0L 12cyl 6A)," I had always thought my dream car would be a Cadillac or a Mercedes, but when this car came into my life, it was a ""dream come true"". It had ultimate luxury and ultimate power. I have no plans to ever replace this car only to loving care for it and maintain it until death do us part. This is my 1st and last BMW!",4.625,2003.0,BMW
120193,162601,Grand Cherokee SUV Limited 4dr SUV 4WD," Bought new 1n 1999, all options available including 4.7 ltr v-8, have driven it all over. I have about 160,000 miles now, most miles in cold weather climate., am now in south, ac just went out, not compressor but a couple smaller parts., been repaired along with vent door problem, had 100,000 mile warranty, so all minor problems were taken care of by dealer then. Still a daily driver. My 4th Jeep.",4.375,1999.0,Jeep
141698,192190,Transit Connect Minivan Wagon Titanium LWB 4dr Minivan (2.5L 4cyl 6A), I shudder when I have to leave the house before dawn. The headlight are focused on the ground about 100 feet ahead. At this time there are joggers on the road and unless they have a light I cannot see them until I am  right on them. Usually I drive in the middle of the street and pray. I have checked and there is no provision made for adjusting the headlights.,3.0,2015.0,Ford
176922,242427,Caliber Wagon SXT 4dr Wagon (1.8L 4cyl 5M)," I love my vehicle but I have been having problems with it since 9850 miles.  I took it to the dealership more than ten times and they tell me there is nothing that they can do.  I also have problems with the acceleration, the signal light went out at about 12,000 miles, the brakes squeek, the head lights dim when I use the inside controls, and the fuel door light stayed on for a day. The tires were not at the correct inflation level once and I fixed the problem by putting more air, y is there not a system that tells me why my car wont start some times. The people at the dealership treat me bad wish that they would have treated me like this when I was going to purchase my car. ",2.125,2008.0,Dodge
184170,251794,LHS Sedan 4dr Sedan," I bought this car used with nearly 58K miles. I now have 147K and have had no major issues. Replaced AC compressor twice, and starter once. The suspension is about due for repair, struts, etc...",4.375,2000.0,Chrysler
99214,133641,XV Crosstrek SUV Premium 4dr SUV AWD (2.0L 4cyl CVT)," When I first started looking at cars I never even thought to look at the Crosstrek or Subaru. As a real estate agent I wanted something nice but didn't want to go the standard issue luxury car everyone seems to drive. When a family member recommended the forester, I wasn't thrilled but went to test drive it anyway. While at the dealership I saw this little beauty and fell in love. I can cart around my clients and all my signs/lockboxes/excess Realtor stuff. But its also very comfortable and safe feeling. Being able to sit up high is a plus when you drive 20k miles a year. I highly recommend the GPS option, with it you get an upgraded sound system and a back up camera. I love my Crosstrek!",4.875,2014.0,Subaru
166302,226427,S80 Sedan 2.9 4dr Sedan (2.9L 6cyl 4A)," I bought this car for my wife recently and she loves it. It replaced her 2001 Mercedes E55 AMG which was also a nice car. I bought this car brand new just as I do with all my cars and it has a great drive, great traction and great look. I have no complaints to Volvo but I would love to see them make a bigger sedand(around BMW's 7-Series and Mercedes S-Class size) because I have 5 children. But this car is great for those who are looking in the $40,000 price range and up. Volvo was always known for its luxury status to the rich and finally they changed their boxy style. This car has a collection of safety devices, but hey thats Volvo for you.",5.0,2002.0,Volvo
152544,208790,Rogue SUV SL 4dr SUV AWD (2.5L 4cyl CVT)," Great car coming from a 2001 Altima, big upgrade.  Great ride and performance.",4.0,2015.0,Nissan
198250,272387,HHR Wagon LT 4dr Wagon (2.2L 4cyl 4A)," Five minutes into a test drive, I was hooked. Took a sharp dog leg corner at a considerable speed, and the HHR held to the road like a magnet. A little slow off the line, but will see if a chip helps.   Day of purchase took a 200mi trip. Very pleasant to drive, and very peppy and nimble in traffic. City and hiway.   Great fuel economy. Cruise set at 78 most of trip. Avg mpg was 26-27. That was with a little lead foot sport driving in city.   Some road noise thru suspension but not unreasonable for size of vehicle.   Slight wind noise but, again not unreasonable.  I am very impressed with the sure footed feeling on wet roads.",5.0,2009.0,Chevrolet
